matchId,gameDuration(s),gameMode,summonerId,puuid,teamId,championId,championName,kills,deaths,assists,wardsPlaced,win,teamPosition,ChampionLevel
NA1_4472304686,2466,CLASSIC,uLtdcTUODvpIcgUT8-tRg9gO8z8XVwwgd2QO_7VOqmW6o91B,Za9q0tXmAuI7ag-YkxS4_LcxB1bJPgyJxN5bz_88N9ReEHq8GEWLP80CfL8T9D6-dK0jabFvintxOg,200,29,Twitch,10,5,11,10,FALSE,BOTTOM,5
NA1_4472304686,2466,CLASSIC,0fX87JE2_d9wOb1C0AYbWso2tQYKcICcmiFIwG5eEGcmmDs,Gtst887XhhYeEjNGEPGAuWy7y6l47au98C6_uYSLFOaDsqt5WihdAFVpR6oRj7q3qfrnu9xrgPxMyA,200,267,Nami,3,10,19,45,FALSE,UTILITY,7
NA1_4472158906,1841,CLASSIC,NZFNX6o1tCckYbz_DCnYDCd59Oi3MMntMSO_dQuMHippt74,Kt_PuKtD0p6LthcfkxF39IGmBoDy15plH3ei0hTl-Lglwlz2uCWk5-GyfoNTfKfRx_EM17Z2VmShxg,100,6,Urgot,13,1,10,9,TRUE,TOP,7
NA1_4472158906,1841,CLASSIC,IcYCVHUI83wrw1uHofL9m8ZKTkutJoiCXne7SGfydH-mWMM,gF5JILqt_ViUXZHysUAqGFViuPGRhVFCS2MCJPwqEZbLsLJg5xzitd2gtFZ4b2TwNKpJsKvLZZOy7A,100,203,Kindred,9,8,14,5,TRUE,JUNGLE,7
NA1_4472158906,1841,CLASSIC,FayxM1n7gJ1eYCrlrD6489FsEsSJCLvLYhVr5B_Ap6OMJqgM,pIMcn4rV6WKOD5irS1PdaH9TbsaQv4nXXp19QK7Fa9pQSERIEu1t56m_2JNzdrdq6WLUtzP1-PYVHw,100,134,Syndra,6,9,12,9,TRUE,MIDDLE,7
NA1_4472158906,1841,CLASSIC,a_aTxEt3bw5wXm_ev9BzNvd5XzVYbCbjH27CUqit8mNp5_o,4jOZWQAkMs_ZSFNbjnk_pL4QcXQuvfWMvZ_mB6sq-ZPKr1hKX81OPio-Id7Vx1Yx1WLpCC2PqozEmA,100,202,Jhin,11,5,13,14,TRUE,BOTTOM,5
NA1_4472158906,1841,CLASSIC,EQ_cmeXpaogNL5uLNdt2TLrDlDIFqZN70YICRwDWaLd-ad8u,IpBPoGGFuXIEt2xWhu4GxRCP-XmiTsrtx4-_9uaEorAbez0OoDbuXQFK7vL57VRh8K3PcaZJmplM6w,100,99,Lux,4,4,17,38,TRUE,UTILITY,5
NA1_4472158906,1841,CLASSIC,QpEpmr3EU5X1PP2Bp3LWSURKBqnz6L7uGqhTtncQ9jLymAU,XMqs2LfO881O8orLhOvJKPkF3qA8qRaTAX6RuAIjdKHmcyJj_u0lA80RnqVzdPqBRfCRPYGqlAoocw,200,27,Singed,3,11,5,11,FALSE,TOP,6
NA1_4472158906,1841,CLASSIC,kcZV84ICZzV_aNKKzqthcQi5mUKCJx4XzdZHbUd6CORi_wA,weKVO0Hd-kjFzOD6OfDDIjAwCBpy2w-urVljjkJJjrKMcSwtmrB8vyQ4OsG7GzN98qs_HnoM08xMZQ,200,82,Mordekaiser,5,11,6,0,FALSE,JUNGLE,7
NA1_4472158906,1841,CLASSIC,ikk6TmGG7EHlsCUiXylVb4jV0a9BJ-E7BlrL0VJQx6OvP9o,9LrMcp9psBANSmivzqWP9CzeZ3UmkED9Fb_QN3RY_Ut5V-zlfm8BEaxV1JWTTIok6JJpXc1edMOBXg,200,777,Yone,9,11,5,3,FALSE,MIDDLE,2
NA1_4472158906,1841,CLASSIC,uLtdcTUODvpIcgUT8-tRg9gO8z8XVwwgd2QO_7VOqmW6o91B,Za9q0tXmAuI7ag-YkxS4_LcxB1bJPgyJxN5bz_88N9ReEHq8GEWLP80CfL8T9D6-dK0jabFvintxOg,200,51,Caitlyn,6,8,9,8,FALSE,BOTTOM,4
NA1_4472158906,1841,CLASSIC,23UwQLcCYm2_qZVrIXgWCSUM23sbUAKJDL2mAqTkUHZFt_E,vLc93bCEcgHCJlhI8v4GN_03TLODRgAAcA0DfriEuUL3Rs5oNEGwJdZ86010qhrNXBuVYXtOu3k1DQ,200,22,Ashe,3,3,13,17,FALSE,UTILITY,7
NA1_4472173452,1542,CLASSIC,BCeErJsRa0KyoLtSJ-KqyQU7hUP90CuPaWE4EfY8uuWyZ4UrWZ9r7JxgLA,6jR8uObKknH7BL8pipECp5z6dM4942isiYbgPtOl8OxXBOH5OKMsOIv0NRny-117DIO5SEfqFG6sbw,100,39,Irelia,15,5,6,8,TRUE,TOP,6
NA1_4472173452,1542,CLASSIC,fkHArgRs7JiEC3Dr3l0d1W15gm4s_ryngw2Fv0xJvJxKJ9cHB22VSPv3ww,AEMywzEYcd1jU-aqaxtM5MHBfqYnb8BAqOaq_kDIgZrIO7-hPgQE7GznS5KRJ6J4STU5je15uP8cCg,100,35,Shaco,4,2,4,9,TRUE,JUNGLE,3
NA1_4472173452,1542,CLASSIC,K2iLF8Q9s_1cucv6K6eT-HouDhgSk4Y90cBRwxvvqbg0Yr8,xG00BYUtJS2cQ3f895JmIIcH_TzTGETgeTEd4JVCRbUoaC_jUuW5mpL6W_kk-2341S3q-ZAtdt8paA,100,157,Yasuo,5,2,4,11,TRUE,MIDDLE,7
NA1_4472173452,1542,CLASSIC,7nhdChUPJ7KndHI1YvsXi-F5-BBG_Q0Hl3Nkg7Z-A_lA9m0,DcH4JBh7iTXGvPyIEh7Wn4S3_4qCf2p3uhvNDzFQPT2xYsvHJKpiPIIT95tggr2QWW-JKnu7KUn4dw,100,202,Jhin,8,3,8,8,TRUE,BOTTOM,7
NA1_4472173452,1542,CLASSIC,OGNj6UlGySWMQXcvyna_jF1lonKUPx0JBjp7K7bHKfk-Gwg,QA0vDYbiwYdAuK1mAVyR86cPt85TIqDINYC2KrVMWBo6cRKekXAbNMkQKPqxboEwevctILLcnZluxQ,100,99,Lux,4,3,12,26,TRUE,UTILITY,7
NA1_4472173452,1542,CLASSIC,J5g9b_f7CnBsBeWTwnnu2RyPEQggFY5oLZoI_frAUQ1SQrUY,x6ksnS9PAxq30M__m7qLC4DVDJOYpT2MaTXEPUrAKfjeCtjsiqW08N_aZl4A5BYWO4iDSnRD3bBFXg,200,41,Gangplank,1,8,4,9,FALSE,TOP,4
NA1_4472173452,1542,CLASSIC,BHD-afDIHYTI3AwCQCcKtFnpit1sTrpWLFDPOCx8DUGYg7A,i4-rZvtC5kC4e2vi_WQkfyZ2AI-E0kkGPjCouyIFk292k-T5CjUg9aLcqkulSVNtvP4SZ8eSz9ccOA,200,104,Graves,2,7,5,13,FALSE,JUNGLE,5
NA1_4472173452,1542,CLASSIC,FayxM1n7gJ1eYCrlrD6489FsEsSJCLvLYhVr5B_Ap6OMJqgM,pIMcn4rV6WKOD5irS1PdaH9TbsaQv4nXXp19QK7Fa9pQSERIEu1t56m_2JNzdrdq6WLUtzP1-PYVHw,200,134,Syndra,6,8,3,9,FALSE,MIDDLE,7
