matchId,puuid,summonerId,teamId
NA1_4474691816,4FLwpW1hgRivNP60B8iQeMdQ-65Iui99uRG39lZ86jTON5ORbpp0Cw3YLr5LUsDjL9RSbP9w_RaWNQ,ECPVRaa3Q6B6qsiJrFQ5NWBHMSaRC1Iwkd8iaDVOfMoDBpGediTAaSQoUA,100
NA1_4474691816,69ZSJeXZYFnDX6LfrdSc-n5PFbEKDBMQymrLWdNnGS3g81kzfRgWhJU_Td0_FIDPabYr3CTaa_YSpw,96_6ce0JUTD3b9xAAxN4-cyWPRTxdYJrFKV0WlGf8YZ4BxpT,100
NA1_4474691816,oWTCkM8U8Sw4iV8q0vDpyi7s3eInHPfGM-ukwIi0GFX8C7jKUILcl5FYlRIGKbdYKuEXL0UuEohtGQ,N2kVm4LVYp-YYZWIaMaoQ1ypSuexikd927aTv_kTTTEHXos,200
NA1_4474691816,MC-1c9Er6BBnzV88lPXZPmjIQDGAbyb7r_TjbQwZjz_ACyEySHiAKPDyPzfSl3Bna7QE4iqaAPfkog,qIBVRZXoxnhOhCPTRzPvdHG46bTpuqwW7gitBfpWWepLK0o,200
NA1_4474691816,c5ajJ84JhIAC9oKVfuQ3F1ZkaYW-OTIC_pLmukrxfgi77zPmiltlRGeOZlnuDlEiUqmQpZc2Imzraw,P0gWVjxtU43C8kOdo5lXWdw_g6-jzd86BSdEPOiYyAWFdCU,200
NA1_4474691816,yAKDuXH-VDQRXCivPil7l_clQNUK3xECQSvlc9OOESSQXDm-dUfzElt2OBmzCsAjW2a-If4Y04YPyA,VPQj8rPE_sZfgUK7AIPmNEY2dASJJ-zKe-Iu61gvyWBgfk1S,200
NA1_4474691816,Q1M3ubXq-WeZPt5cCrBwMwWMxsEusUad8OfrUP-HxvRxW7DAzYmC-f3xmXWv8vHiQdmnq5swTer3AA,EBPUqol3UsWPzqkRxqhBm7GsLhfqYXKeaOZhWS0r5G7JlpM1,200
NA1_4474691375,25nrMQGPB849qk-h-XUuQCpxnjvSsV0WE4nUn_J915KAZP__ShWDNKyE-grUF7Q9JhWER4H8c-rK5A,h6OdNpJRdrwLxob2CZcPs3tiUD0naqlUY3CWT6s7ez6yDh4,100
NA1_4474691375,a0jLY-O3Fz-QObogol8RmN2rnOgEgC8HIT8A8mfCdMBxj8iw-d8TDTvwG-ymyIy84jcye9Wm-Dicpw,lrXIX87ZcwrW7ttdkONdHYlh8ADJHL1nctPHfJqD9XRLDMs,100
NA1_4474691375,t3A5Uc-Ze0p3jhwvu87m0rUjZV0QAgV4WUWdWSaGgRpr7S5B3uFZYyG7h6IGKacjr0x_QRUejKF5Fg,44mZD8Qks8sqWi4Djk06e-lk0gXslCg3V4kMoioCsTpyH8Nm,100
NA1_4474691375,TL5y4hND3E6BuJPJgDWEdva9ETWbrVjX8-B91L0TJXz4yduFLimBVd2eh_UkscKHiQdAbr6QyFerbg,wtECtSHqUGQmvRl3mpRm5MPolqk7X2YFM1pve6kV-GA5p18,100
NA1_4474691375,g8YFnAiid2iNpg-Gu95rbbEhK-Z4NQuB9AVWRRe8G_4qwKk0s6EgXSqcExnHp2TEoI1hG25JnSO3bw,3HeRCN5GquHkfjxBMijK2oFYVFy9LDyUfQV1ZBnjROKZRbgk,100
NA1_4474691375,4LFfR9J6AuEnmHYtDn-vuNjPjzHPOQj4btiianM8_d8ielYw5ieBDZOSaKOalV1lIOW-mkCPQFsIXQ,Lf6-qXOlqXAgE5VknxqlcpuR7tDJEyJvokHXQXjCHMBRD6M,200
NA1_4474691375,E-KYYhU_salhBv8sMoVSkgYZI4_CpyGeA_MsQDxhG515gPGPDgzwLhEjE5eb9e-KeQpqqb-8G200lQ,c8ALwKcZ8qYX-SaIFijRK4i55mFZalOvtZFr-0Y-1l2I4W4,200
NA1_4474691375,faZZqIW_-26PO6jP_ZyO5tFE66pVNWhASd18WRVeCpKwlmtcSTpZsowOVwv4fN_nLbhBnsxo5l2dsg,Fk7rrRnXYoXvmBWolTOtoAXiENo2kw4D7oDl2JX9GjYR8VM,200
NA1_4474691375,jlBsiXYSELSUr4rHyfGIK0rXbYXRBxELrzXqe2Maq8I7EWn6UQ-Te9JkExgPb2vm9Tc4pe47ILm5rA,tgAUhlbwxQ33hPdWCokGwV3FAiADGnPGmcRCz5cCOdIFxbDZ,200
NA1_4474691375,I7BoqqSida3ToIOacTWKzIh95LbUdtXu9KO9v44Peq5gt6VmJnV3cBr36HwfNFheA39QZH3ZWZfJuw,xS1yjBGbhpf7nmGxQMtqgJcSPNdCpqnN1QyUFVd9EizrpPQX,200
NA1_4474690753,5mA4dluzVytzuIims3M6OWgfY6mPjCOzgri558P50CRIwl2ACAWsZrun2364-uScLflElBmSttH9_A,WoiegQt2bbyr8nKy_Lmd8o1y0bpxelpDFDf1aNDBT-vwMm0,100
NA1_4474690753,YP9t1k35_v-lmsj7n6tz7x_-i-uujOPTfglfYxzq8XCqwBu53cEf-oEQ61iueaDAFnXEadCo6auVpw,4z-40rJG5UYpLc6yueiTCPsDvTLm9h-jN8tfw0EGtWTqM8A,100
NA1_4474690753,O0MeSUNM_emCto0QC6aBoHM6TpmV9V85vWDK6jv1En2laFfE7vRn5ZXA8LVu290_R46sW6agDa2Jog,lu9wgL2CzfVZ2CAiv3VcUWeVGl4ySciObEKGlIYbqVlIAfg,100
NA1_4474690753,DeD_3X539ZKXyHXaZBYlGoZESqz_9vOYMSa_D8C85vfU4varf_ta0-Rd5esZ-Pd_YmnLD6wg6WPnJQ,zaRfSxESpIkkA6dmUr7RDc8qEczfRcTvtcguBW_r6iMv8z0,100
NA1_4474690753,vKSOsv0OKnqizVw9tXJNk0WScKWGaJCOs-7DwFDf96BqNMNukGvtsuHjUJVklTjbyuCK5ASlRvoMNg,WJuwyy-vAuGjIoZUWjqTAhGirPlAKxKr61A909kfGQzfHB0,100
NA1_4474690753,z4k6AOw8ZbSGjKICTfZfO0rHieVKpTVsNbf9U3AJMzVXD3-P9YhWuAn_EYzrw1ekHfpDht0p53SCdA,nyAM9E6xcaez6pkWS6fiVZMXuzfIAADVg25W5HbuC0p7md3SmHxu-yTPFw,200
NA1_4474690753,ghJt_ZvhqB7psSqMDiEXznpbyXpTuoH5d_a0AradSYarFl-Rs1rWjJ26-5RZpk7PTplzACFnBTHK2Q,gQvF6KZGsZYVEkSSZEOmDZRQxw_Islr0pkdhvL11neYAIZ5oxrPSR0hDhg,200
NA1_4474690753,JwXxzKG4wubQYXDJ09O9jjz3OBN6OgJ8QiW30bD8oSkBvwms06BGSvff6pKHQX9uwt3w_FPWH96d6A,Jf1hx42Oi9j4JnKa9g3gmm0y3e4vV7KTyTx8nUXl7rov,200
NA1_4474690753,Bp1o8GQbGsLv0fD5rTOU-yd5GXDq1ekhdY149Yk3u14e0OFcQSvdy6oxZQlDsfCZ_aYrfITkxw7T8g,3MLuo4jBBewkgl4UIKmqolJK72kBbB6jw1cTaelH6zVUuQI,200
NA1_4474690753,y2_XFV7rN4cm7eAPKkbNBESmpsbU2vsh3yJHdNOLiYEZ7eaLUC311fAYrztX7yqekBRIzVEg__zjTw,z5cqdZovNQR7ei8C8BHpvh4yYCcBaFBg_i_4pXAIyFAfKmA,200
